model,sampling_method,dataset_id,dataset_usage_percent,reference_auc,reference_risk,best_dataset_auc,best_dataset_risk,tunability_risk_diff,n_trials
random_forest,bayesian,1590,50,0.9058639597160916,0.09413604028390843,0.9058767751734667,0.09412322482653335,1.2815457375081607e-05,10
random_forest,bayesian,1510,50,0.9808238851095993,0.01917611489040072,0.9815769944341373,0.018423005565862738,0.0007531093245379816,10
random_forest,bayesian,1461,50,0.9248016170165734,0.07519838298342663,0.925871066596231,0.07412893340376903,0.0010694495796575998,10
random_forest,bayesian,24,50,1.0,0.0,1.0,0.0,0.0,10
random_forest,bayesian,40945,50,0.9921172839506174,0.007882716049382621,0.9921172839506174,0.007882716049382621,0.0,10
random_forest,random,1590,50,0.9059330481434728,0.09406695185652725,0.9061756567169816,0.09382434328301836,0.00024260857350888454,10
random_forest,random,1510,50,0.9807967429396001,0.019203257060399936,0.9813687899402186,0.01863121005978141,0.0005720470006185252,10
random_forest,random,1461,50,0.9251764305980764,0.07482356940192358,0.9253081608181841,0.07469183918181588,0.0001317302201077064,10
random_forest,random,24,50,1.0,0.0,1.0,0.0,0.0,10
random_forest,random,40945,50,0.9923641975308641,0.007635802469135866,0.9923641975308641,0.007635802469135866,0.0,10
random_forest,grid,1590,50,0.9070687611298828,0.09293123887011723,0.9070687611298828,0.09293123887011723,0.0,9
random_forest,grid,1510,50,0.980206486635058,0.01979351336494195,0.981185322613894,0.018814677386105982,0.000978835978835968,9
random_forest,grid,1461,50,0.9263277556926098,0.07367224430739017,0.9263277556926098,0.07367224430739017,0.0,9
random_forest,grid,24,50,1.0,0.0,1.0,0.0,0.0,9
random_forest,grid,40945,50,0.9928092592592591,0.007190740740740886,0.9928092592592591,0.007190740740740886,0.0,9
knn,bayesian,1590,50,0.8823717785113969,0.11762822148860308,0.8824860151707871,0.11751398482921294,0.00011423665939014338,10
knn,bayesian,1510,50,0.9895372088229232,0.010462791177076824,0.9895372088229232,0.010462791177076824,0.0,10
knn,bayesian,1461,50,0.8663308269139545,0.13366917308604553,0.8693901660418971,0.13060983395810288,0.0030593391279426507,10
knn,bayesian,24,50,0.9997522835390777,0.00024771646092225375,0.9999738804286707,2.61195713292528e-05,0.00022159688959300095,10
knn,bayesian,40945,50,0.9398154320987654,0.06018456790123461,0.9493858024691356,0.05061419753086438,0.00957037037037023,10
knn,random,1590,50,0.8823717785113969,0.11762822148860308,0.8824860151707871,0.11751398482921294,0.00011423665939014338,10
knn,random,1510,50,0.9895372088229232,0.010462791177076824,0.9895372088229232,0.010462791177076824,0.0,10
knn,random,1461,50,0.8663308269139545,0.13366917308604553,0.8693901660418971,0.13060983395810288,0.0030593391279426507,10
knn,random,24,50,0.9997522835390777,0.00024771646092225375,0.9999738804286707,2.61195713292528e-05,0.00022159688959300095,10
knn,random,40945,50,0.9398154320987654,0.06018456790123461,0.9493858024691356,0.05061419753086438,0.00957037037037023,10
knn,grid,1590,50,0.8823717785113969,0.11762822148860308,0.8824860151707871,0.11751398482921294,0.00011423665939014338,10
knn,grid,1510,50,0.9895372088229232,0.010462791177076824,0.9895372088229232,0.010462791177076824,0.0,10
knn,grid,1461,50,0.8663308269139545,0.13366917308604553,0.8681656561478283,0.13183434385217174,0.0018348292338737915,10
knn,grid,24,50,0.9997522835390777,0.00024771646092225375,0.9999750952002937,2.4904799706293446e-05,0.0002228116612159603,10
knn,grid,40945,50,0.9398154320987654,0.06018456790123461,0.9488453703703703,0.05115462962962969,0.00902993827160492,10
xgboost,bayesian,1590,50,0.9117339629668031,0.08826603703319691,0.9122724629222205,0.08772753707777947,0.0005384999554174374,10
xgboost,bayesian,1510,50,0.985143956572528,0.014856043427472043,0.9922888751460179,0.007711124853982065,0.007144918573489978,10
xgboost,bayesian,1461,50,0.9240441314897117,0.07595586851028835,0.92443647379339,0.07556352620661,0.0003923423036783502,10
xgboost,bayesian,24,50,1.0,0.0,1.0,0.0,0.0,10
xgboost,bayesian,40945,50,0.9938691358024692,0.006130864197530839,0.9951777777777778,0.004822222222222172,0.0013086419753086664,10
xgboost,random,1590,50,0.9117339629668031,0.08826603703319691,0.9122724629222205,0.08772753707777947,0.0005384999554174374,10
xgboost,random,1510,50,0.985143956572528,0.014856043427472043,0.9922888751460179,0.007711124853982065,0.007144918573489978,10
xgboost,random,1461,50,0.9240441314897117,0.07595586851028835,0.92443647379339,0.07556352620661,0.0003923423036783502,10
xgboost,random,24,50,1.0,0.0,1.0,0.0,0.0,10
xgboost,random,40945,50,0.9938691358024692,0.006130864197530839,0.9951777777777778,0.004822222222222172,0.0013086419753086664,10
xgboost,grid,1590,50,0.9100603281995256,0.08993967180047435,0.9145945491381555,0.08540545086184448,0.004534220938629874,10
xgboost,grid,1510,50,0.9813200027485742,0.018679997251425773,0.9906988249845392,0.009301175015460794,0.009378822235964979,10
xgboost,grid,1461,50,0.9216514624840269,0.07834853751597315,0.9216514624840269,0.07834853751597315,0.0,10
xgboost,grid,24,50,0.9999975704567541,2.4295432459187083e-06,1.0,0.0,2.4295432459187083e-06,10
xgboost,grid,40945,50,0.994288888888889,0.005711111111111,0.9949555555555556,0.005044444444444407,0.0006666666666665932,10
