model,sampling_method,dataset_id,dataset_usage_percent,reference_auc,reference_risk,best_dataset_auc,best_dataset_risk,tunability_risk_diff,n_trials
xgboost,bayesian,1590,100,0.928462726294028,0.071537273705972,0.9291112440925908,0.0708887559074092,0.0006485177985627,32
xgboost,bayesian,1510,100,0.9931597552585106,0.0068402447414893,0.9938803579443932,0.0061196420556066,0.0007206026858826,32
xgboost,bayesian,1461,100,0.5518631764986003,0.4481368235013997,0.5518631764986003,0.4481368235013997,0.0,32
xgboost,bayesian,24,100,0.9655555901888412,0.0344444098111587,0.9773476478668516,0.0226523521331485,0.0117920576780101,32
xgboost,bayesian,40945,100,0.9699569051453112,0.0300430948546889,0.9715591595736524,0.0284408404263476,0.0016022544283412,32
xgboost,random,1590,100,0.9197553033061788,0.080244696693821,0.9228411584938924,0.0771588415061075,0.0030858551877135,32
xgboost,random,1510,100,0.993085190730949,0.0069148092690509,0.9942728073869574,0.0057271926130425,0.0011876166560084,32
xgboost,random,1461,100,0.4866233159224556,0.5133766840775443,0.4938723537669177,0.5061276462330823,0.007249037844462,32
xgboost,random,24,100,0.9722093126069158,0.0277906873930842,0.9832548560127736,0.0167451439872262,0.0110455434058579,32
xgboost,random,40945,100,0.9580233110957748,0.0419766889042252,0.9621535925159114,0.0378464074840886,0.0041302814201366,32
xgboost,grid,1590,100,0.9183605064216656,0.0816394935783343,0.9295971386959084,0.0704028613040916,0.0112366322742426,32
xgboost,grid,1510,100,0.9915195306204152,0.0084804693795849,0.993419582958561,0.0065804170414389,0.0019000523381459,32
xgboost,grid,1461,100,0.618213307604345,0.381786692395655,0.6196032363975441,0.3803967636024559,0.0013899287931991,32
xgboost,grid,24,100,0.992575490955103,0.0074245090448969,0.9960129650285634,0.0039870349714365,0.0034374740734604,32
xgboost,grid,40945,100,0.9716032512844108,0.0283967487155892,0.9828782301970708,0.0171217698029291,0.0112749789126601,32
xgboost,bayesian,1590,10,0.9147415322191056,0.0852584677808945,0.9147415322191056,0.0852584677808945,0.0,32
xgboost,bayesian,1510,10,0.9885714285714288,0.0114285714285713,0.9885714285714288,0.0114285714285713,0.0,32
xgboost,bayesian,1461,10,0.9172890162213336,0.0827109837786663,0.9176905342204073,0.0823094657795928,0.0004015179990735,32
xgboost,bayesian,24,10,0.9998168498168498,0.0001831501831501,0.9998778998779,0.0001221001221001,6.105006105006083e-05,32
xgboost,bayesian,40945,10,1.0,0.0,1.0,0.0,0.0,32
xgboost,random,1590,10,0.8992016656888797,0.1007983343111202,0.8992016656888797,0.1007983343111202,0.0,32
xgboost,random,1510,10,0.9742857142857144,0.0257142857142855,0.9885714285714288,0.0114285714285713,0.0142857142857142,32
xgboost,random,1461,10,0.9112174040314852,0.0887825959685149,0.9112174040314852,0.0887825959685149,0.0,32
xgboost,random,24,10,0.9998168498168498,0.0001831501831501,0.9998168498168498,0.0001831501831501,0.0,32
xgboost,random,40945,10,1.0,0.0,1.0,0.0,0.0,32
xgboost,grid,1590,10,0.9166466246255294,0.0833533753744706,0.9166466246255294,0.0833533753744706,0.0,32
xgboost,grid,1510,10,0.9885714285714288,0.0114285714285713,0.9885714285714288,0.0114285714285713,0.0,32
xgboost,grid,1461,10,0.9191020647943092,0.0808979352056908,0.9191020647943092,0.0808979352056908,0.0,32
xgboost,grid,24,10,0.999847374847375,0.000152625152625,0.9998778998779,0.0001221001221001,3.0525030524919394e-05,32
xgboost,grid,40945,10,1.0,0.0,1.0,0.0,0.0,32
xgboost,bayesian,1590,25,0.9192898992059136,0.0807101007940864,0.9207492108006938,0.0792507891993061,0.0014593115947802,32
xgboost,bayesian,1510,25,0.9713309566250744,0.0286690433749257,0.975650623885918,0.024349376114082,0.0043196672608436,32
xgboost,bayesian,1461,25,0.9220760431669516,0.0779239568330485,0.9220760431669516,0.0779239568330485,0.0,32
xgboost,bayesian,24,25,1.0,0.0,1.0,0.0,0.0,32
xgboost,bayesian,40945,25,0.9984,0.0016,0.9984,0.0016,0.0,32
xgboost,random,1590,25,0.9099464288661554,0.0900535711338446,0.9099464288661554,0.0900535711338446,0.0,32
xgboost,random,1510,25,0.9712715389185976,0.0287284610814022,0.97767082590612,0.02232917409388,0.0063992869875222,32
xgboost,random,1461,25,0.9170242887146506,0.0829757112853494,0.9170242887146506,0.0829757112853494,0.0,32
xgboost,random,24,25,1.0,0.0,1.0,0.0,0.0,32
xgboost,random,40945,25,0.9982048780487804,0.0017951219512195,0.998209756097561,0.0017902439024389,4.878048780576627e-06,32
xgboost,grid,1590,25,0.921544290972428,0.0784557090275719,0.92264732804635,0.07735267195365,0.0011030370739218,32
xgboost,grid,1510,25,0.9734105763517528,0.0265894236482472,0.9734105763517528,0.0265894236482472,0.0,32
xgboost,grid,1461,25,0.92187782798301,0.0781221720169901,0.9222951420279096,0.0777048579720904,0.0004173140448996,32
xgboost,grid,24,25,0.9999903278847084,9.672115291570194e-06,1.0,0.0,9.672115291570194e-06,32
xgboost,grid,40945,25,0.9968,0.0031999999999999,0.9986,0.0013999999999999,0.0018,32
xgboost,bayesian,1590,50,0.9267186663274384,0.0732813336725615,0.9278660104838096,0.0721339895161904,0.001147344156371,32
xgboost,bayesian,1510,50,0.9909585652442796,0.0090414347557205,0.993090084518656,0.0069099154813441,0.0021315192743763,32
xgboost,bayesian,1461,50,0.9309358627326844,0.0690641372673155,0.9313695697097332,0.0686304302902669,0.0004337069770485,32
xgboost,bayesian,24,50,1.0,0.0,1.0,0.0,0.0,32
xgboost,bayesian,40945,50,0.9936222222222222,0.0063777777777778,0.9950543209876545,0.0049456790123455,0.0014320987654322,32
xgboost,random,1590,50,0.9165448532346931,0.0834551467653067,0.9165448532346931,0.0834551467653067,0.0,32
xgboost,random,1510,50,0.9917824503538788,0.008217549646121,0.993090084518656,0.0069099154813441,0.0013076341647769,32
xgboost,random,1461,50,0.9259670117876916,0.0740329882123085,0.9259670117876916,0.0740329882123085,0.0,32
xgboost,random,24,50,1.0,0.0,1.0,0.0,0.0,32
xgboost,random,40945,50,0.9924358024691358,0.0075641975308642,0.99545,0.00455,0.0030141975308641,32
xgboost,grid,1590,50,0.9283019374078744,0.0716980625921257,0.9283019374078744,0.0716980625921257,0.0,32
xgboost,grid,1510,50,0.9875407132549988,0.012459286745001,0.9936315536315536,0.0063684463684463,0.0060908403765547,32
xgboost,grid,1461,50,0.9297482351507448,0.0702517648492551,0.9306046789372572,0.0693953210627429,0.0008564437865121,32
xgboost,grid,24,50,1.0,0.0,1.0,0.0,0.0,32
xgboost,grid,40945,50,0.9951561728395062,0.0048438271604938,0.9955018518518518,0.0044981481481481,0.0003456790123456,32
xgboost,bayesian,1590,75,0.9282474257209168,0.0717525742790833,0.9287929108586988,0.0712070891413011,0.0005454851377821,32
xgboost,bayesian,1510,75,0.9942369846261356,0.0057630153738644,0.9944756514731408,0.0055243485268592,0.0002386668470052,32
