model,sampling_method,dataset_id,dataset_usage_percent,reference_auc,reference_risk,best_dataset_auc,best_dataset_risk,tunability_risk_diff,n_trials
random_forest,bayesian,1590,10,0.8988787540688256,0.10112124593117444,0.8996510428600493,0.10034895713995073,0.0007722887912237075,10
random_forest,bayesian,1510,10,0.9771428571428572,0.022857142857142798,0.9771428571428572,0.022857142857142798,0.0,10
random_forest,bayesian,1461,10,0.9153951554210815,0.08460484457891848,0.9153951554210815,0.08460484457891848,0.0,10
random_forest,bayesian,24,10,1.0,0.0,1.0,0.0,0.0,10
random_forest,bayesian,40945,10,1.0,0.0,1.0,0.0,0.0,10
random_forest,random,1590,10,0.8984969505931965,0.10150304940680355,0.8992274273271738,0.10077257267282624,0.0007304767339773033,10
random_forest,random,1510,10,0.9771428571428572,0.022857142857142798,0.9771428571428572,0.022857142857142798,0.0,10
random_forest,random,1461,10,0.9147850436419999,0.08521495635800014,0.9151106229218641,0.08488937707813593,0.00032557927986420765,10
random_forest,random,24,10,1.0,0.0,1.0,0.0,0.0,10
random_forest,random,40945,10,1.0,0.0,1.0,0.0,0.0,10
random_forest,grid,1590,10,0.9007144435947744,0.09928555640522563,0.9007144435947744,0.09928555640522563,0.0,9
random_forest,grid,1510,10,0.9771428571428572,0.022857142857142798,0.9828571428571429,0.017142857142857126,0.005714285714285672,9
random_forest,grid,1461,10,0.9162899071183757,0.08371009288162434,0.9162899071183757,0.08371009288162434,0.0,9
random_forest,grid,24,10,1.0,0.0,1.0,0.0,0.0,9
random_forest,grid,40945,10,1.0,0.0,1.0,0.0,0.0,9
knn,bayesian,1590,10,0.8697998703821288,0.1302001296178712,0.870909978280342,0.129090021719658,0.0011101078982131973,10
knn,bayesian,1510,10,0.9585714285714285,0.04142857142857148,0.9714285714285713,0.028571428571428692,0.01285714285714279,10
knn,bayesian,1461,10,0.8457748575988108,0.15422514240118923,0.8457748575988108,0.15422514240118923,0.0,10
knn,bayesian,24,10,0.9907120105426138,0.009287989457386181,0.9963466311548963,0.0036533688451036994,0.005634620612282482,10
knn,bayesian,40945,10,0.9568750000000001,0.04312499999999986,0.9568750000000001,0.04312499999999986,0.0,10
knn,random,1590,10,0.8697998703821288,0.1302001296178712,0.870909978280342,0.129090021719658,0.0011101078982131973,10
knn,random,1510,10,0.9585714285714285,0.04142857142857148,0.9714285714285713,0.028571428571428692,0.01285714285714279,10
knn,random,1461,10,0.8457748575988108,0.15422514240118923,0.8457748575988108,0.15422514240118923,0.0,10
knn,random,24,10,0.9907120105426138,0.009287989457386181,0.9963466311548963,0.0036533688451036994,0.005634620612282482,10
knn,random,40945,10,0.9568750000000001,0.04312499999999986,0.9568750000000001,0.04312499999999986,0.0,10
knn,grid,1590,10,0.8704765404440196,0.12952345955598044,0.8710041874758053,0.12899581252419468,0.0005276470317857607,10
knn,grid,1510,10,0.97,0.030000000000000027,0.9785714285714284,0.021428571428571574,0.008571428571428452,10
knn,grid,1461,10,0.8421124421794326,0.1578875578205674,0.8445290739423239,0.1554709260576761,0.002416631762891308,10
knn,grid,24,10,0.9914424588400761,0.00855754115992391,0.9968016632164064,0.0031983367835936027,0.0053592043763303066,10
knn,grid,40945,10,0.9487500000000001,0.05124999999999991,0.953125,0.046875,0.004374999999999907,10
xgboost,bayesian,1590,10,0.8980404516966072,0.10195954830339282,0.900820220348406,0.09917977965159397,0.002779768651798853,10
xgboost,bayesian,1510,10,0.9771428571428572,0.022857142857142798,0.9771428571428572,0.022857142857142798,0.0,10
xgboost,bayesian,1461,10,0.909360800163206,0.09063919983679403,0.9134494032564113,0.08655059674358867,0.004088603093205356,10
xgboost,bayesian,24,10,0.9976217523685879,0.002378247631412145,0.9997557997557998,0.00024420024420024333,0.0021340473872119015,10
xgboost,bayesian,40945,10,1.0,0.0,1.0,0.0,0.0,10
xgboost,random,1590,10,0.8980404516966072,0.10195954830339282,0.900820220348406,0.09917977965159397,0.002779768651798853,10
xgboost,random,1510,10,0.9771428571428572,0.022857142857142798,0.9771428571428572,0.022857142857142798,0.0,10
xgboost,random,1461,10,0.909360800163206,0.09063919983679403,0.9134494032564113,0.08655059674358867,0.004088603093205356,10
xgboost,random,24,10,0.9976217523685879,0.002378247631412145,0.9997557997557998,0.00024420024420024333,0.0021340473872119015,10
xgboost,random,40945,10,1.0,0.0,1.0,0.0,0.0,10
xgboost,grid,1590,10,0.9108320974609481,0.08916790253905194,0.9108320974609481,0.08916790253905194,0.0,10
xgboost,grid,1510,10,0.9771428571428572,0.022857142857142798,0.9771428571428572,0.022857142857142798,0.0,10
xgboost,grid,1461,10,0.910768538225153,0.08923146177484698,0.9128200764977124,0.08717992350228765,0.002051538272559328,10
xgboost,grid,24,10,0.99929946986909,0.0007005301309099821,0.9996031746031747,0.0003968253968252844,0.00030370473408469767,10
xgboost,grid,40945,10,1.0,0.0,1.0,0.0,0.0,10
