model,sampling_method,dataset_id,dataset_usage_percent,reference_auc,reference_risk,best_dataset_auc,best_dataset_risk,tunability_risk_diff,n_trials
random_forest,bayesian,1590,25,0.8996070584622778,0.10039294153772216,0.9008099266655604,0.09919007333443963,0.0012028682032825255,10
random_forest,bayesian,1510,25,0.9713844325609031,0.02861556743909688,0.9725965537730243,0.02740344622697566,0.00121212121212122,10
random_forest,bayesian,1461,25,0.9180566679385072,0.08194333206149285,0.9188171490207402,0.08118285097925981,0.0007604810822330332,10
random_forest,bayesian,24,25,1.0,0.0,1.0,0.0,0.0,10
random_forest,bayesian,40945,25,0.9962048780487806,0.003795121951219449,0.9962048780487806,0.003795121951219449,0.0,10
random_forest,random,1590,25,0.9001148541004609,0.09988514589953912,0.9004694294087733,0.09953057059122672,0.00035457530831239925,10
random_forest,random,1510,25,0.9704159239453357,0.029584076054664288,0.9724955436720142,0.027504456327985816,0.002079619726678472,10
random_forest,random,1461,25,0.9182267658530325,0.08177323414696747,0.9189994010319096,0.08100059896809042,0.0007726351788770458,10
random_forest,random,24,25,1.0,0.0,1.0,0.0,0.0,10
random_forest,random,40945,25,0.9952048780487806,0.00479512195121945,0.9952048780487806,0.00479512195121945,0.0,10
random_forest,grid,1590,25,0.9015688074140135,0.09843119258598654,0.9015688074140135,0.09843119258598654,0.0,9
random_forest,grid,1510,25,0.9692869875222817,0.030713012477718293,0.9725371360665479,0.027462863933452097,0.003250148544266196,9
random_forest,grid,1461,25,0.9197682400249327,0.08023175997506726,0.9197682400249327,0.08023175997506726,0.0,9
random_forest,grid,24,25,1.0,0.0,1.0,0.0,0.0,9
random_forest,grid,40945,25,0.9942048780487805,0.005795121951219451,0.9967048780487804,0.003295121951219615,0.0024999999999998357,9
knn,bayesian,1590,25,0.8756358745002449,0.12436412549975506,0.8756358745002449,0.12436412549975506,0.0,10
knn,bayesian,1510,25,0.9763874034462269,0.023612596553773124,0.9793642305407012,0.02063576945929879,0.0029768270944743325,10
knn,bayesian,1461,25,0.8592578252560008,0.1407421747439992,0.8605397738014624,0.1394602261985376,0.0012819485454615975,10
knn,bayesian,24,25,0.9985484289544161,0.0014515710455839104,0.9997233270163438,0.00027667298365618986,0.0011748980619277205,10
knn,bayesian,40945,25,0.923519512195122,0.07648048780487804,0.9254975609756098,0.07450243902439024,0.0019780487804877955,10
knn,random,1590,25,0.8756358745002449,0.12436412549975506,0.8756358745002449,0.12436412549975506,0.0,10
knn,random,1510,25,0.9763874034462269,0.023612596553773124,0.9793642305407012,0.02063576945929879,0.0029768270944743325,10
knn,random,1461,25,0.8592578252560008,0.1407421747439992,0.8605397738014624,0.1394602261985376,0.0012819485454615975,10
knn,random,24,25,0.9985484289544161,0.0014515710455839104,0.9997233270163438,0.00027667298365618986,0.0011748980619277205,10
knn,random,40945,25,0.923519512195122,0.07648048780487804,0.9254975609756098,0.07450243902439024,0.0019780487804877955,10
knn,grid,1590,25,0.8756358745002449,0.12436412549975506,0.8756358745002449,0.12436412549975506,0.0,10
knn,grid,1510,25,0.9763874034462269,0.023612596553773124,0.9804248366013072,0.019575163398692808,0.004037433155080317,10
knn,grid,1461,25,0.8592578252560008,0.1407421747439992,0.8592578252560008,0.1407421747439992,0.0,10
knn,grid,24,25,0.9985484289544161,0.0014515710455839104,0.9997063760142879,0.00029362398571208814,0.0011579470598718222,10
knn,grid,40945,25,0.923519512195122,0.07648048780487804,0.9292585365853657,0.07074146341463428,0.005739024390243763,10
xgboost,bayesian,1590,25,0.9059105079463456,0.09408949205365436,0.9059105079463456,0.09408949205365436,0.0,10
xgboost,bayesian,1510,25,0.9700534759358289,0.029946524064171087,0.9775876411170529,0.022412358882947125,0.007534165181223962,10
xgboost,bayesian,1461,25,0.9182599862389159,0.08174001376108408,0.9182599862389159,0.08174001376108408,0.0,10
xgboost,bayesian,24,25,0.9999951639423543,4.8360576456740745e-06,1.0,0.0,4.8360576456740745e-06,10
xgboost,bayesian,40945,25,0.9965999999999999,0.0034000000000000696,0.9978,0.0021999999999999797,0.0012000000000000899,10
xgboost,random,1590,25,0.9059105079463456,0.09408949205365436,0.9059105079463456,0.09408949205365436,0.0,10
xgboost,random,1510,25,0.9700534759358289,0.029946524064171087,0.9775876411170529,0.022412358882947125,0.007534165181223962,10
xgboost,random,1461,25,0.9182599862389159,0.08174001376108408,0.9182599862389159,0.08174001376108408,0.0,10
xgboost,random,24,25,0.9999951639423543,4.8360576456740745e-06,1.0,0.0,4.8360576456740745e-06,10
xgboost,random,40945,25,0.9965999999999999,0.0034000000000000696,0.9978,0.0021999999999999797,0.0012000000000000899,10
xgboost,grid,1590,25,0.9107049594688534,0.08929504053114656,0.9107049594688534,0.08929504053114656,0.0,10
xgboost,grid,1510,25,0.9692691622103388,0.030730837789661236,0.972638146167558,0.02736185383244205,0.003368983957219185,10
xgboost,grid,1461,25,0.9122747725296219,0.08772522747037814,0.9169205971978261,0.08307940280217385,0.00464582466820429,10
xgboost,grid,24,25,0.9999371312506046,6.28687493954283e-05,1.0,0.0,6.28687493954283e-05,10
xgboost,grid,40945,25,0.9952,0.0048000000000000265,0.9984,0.0016000000000000458,0.0031999999999999806,10
